,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2021-07-29,0.42,0.22,0.94,0.82,0.55,0.0,
2021-07-30,-0.66,-0.09,-0.18,0.57,0.42,0.0,0.009477364559073775
2021-08-02,-0.12,-0.14,-0.45,-0.07,-0.39,0.0,0.07197720254533091
2021-08-03,0.74,-0.39,0.93,0.65,0.27,0.0,0.24203818625319995
2021-08-04,-0.39,-0.98,-1.57,-0.37,-1.13,0.0,0.5040598405375005
2021-08-05,0.74,1.08,-0.12,-1.29,-0.4,0.0,-0.2758914382346368
2021-08-06,0.09,0.46,1.88,0.48,0.29,0.0,0.07926225238521489
2021-08-09,0.0,-0.46,-0.27,-0.64,-0.52,0.0,0.033084958463070135
2021-08-10,0.06,0.38,1.82,0.72,0.92,0.0,-0.050853477234386935
2021-08-11,0.2,0.3,1.44,0.91,0.56,0.0,-0.05098257452751043
2021-08-12,0.24,-0.68,-0.41,0.07,0.11,0.0,-0.0603633568174321
2021-08-13,0.02,-0.95,-0.27,0.7,-0.01,0.0,0.052598808196539615
2021-08-16,-0.03,-0.86,0.06,1.66,0.22,0.0,-0.06794395356180694
2021-08-17,-0.8,-0.5,-0.13,-0.3,0.08,0.0,-0.011019293767670302
2021-08-18,-0.96,0.1,-0.19,-0.32,-0.66,0.0,0.0670666636151267
2021-08-19,-0.13,-0.96,-0.83,1.38,-0.47,0.0,-0.10261045559512316
2021-08-20,0.92,0.87,-0.51,-0.36,-0.32,0.0,-0.0458715439708105
2021-08-23,1.07,0.75,-0.83,-1.85,-0.1,0.0,0.06214825431076898
2021-08-24,0.4,0.4,0.35,-0.72,0.02,0.0,0.09030691256148038
2021-08-25,0.27,0.06,0.36,-0.42,-0.01,0.0,-0.008100476250033739
2021-08-26,-0.65,-0.44,-0.33,-0.06,-0.12,0.0,-0.043282951239243084
2021-08-27,1.08,1.64,0.31,-0.69,0.16,0.0,0.00021336580031960928
2021-08-30,0.35,-0.69,-1.39,0.66,0.07,0.0,-0.06891400929900637
2021-08-31,-0.13,0.46,-0.04,-0.47,-0.2,0.0,0.01558204204139102
2021-09-01,0.11,0.4,-0.96,-0.45,-0.39,0.0,0.0056407942626677254
2021-09-02,0.35,0.2,-0.02,-0.44,0.59,0.0,-0.0017948848307196563
2021-09-03,-0.02,-0.56,-0.28,0.04,-0.31,0.0,-0.025623806728186094
2021-09-07,-0.36,-0.36,-0.08,-0.6,0.14,0.0,-0.028142963066865145
2021-09-08,-0.33,-0.74,0.07,0.74,0.2,0.0,-0.049371036751026165
2021-09-09,-0.28,0.25,0.09,-0.78,-0.27,0.0,0.030711599642132992
2021-09-10,-0.76,-0.03,0.02,0.2,-0.37,0.0,-0.0026647435466189417
2021-09-13,0.15,0.24,1.35,0.23,0.93,0.0,-0.013845025994054572
2021-09-14,-0.66,-0.67,-0.97,0.42,-0.47,0.0,-0.014285665964423933
2021-09-15,0.88,0.12,0.67,-0.24,0.43,0.0,0.046226847900052936
2021-09-16,-0.05,-0.1,-0.58,-0.42,-0.53,0.0,0.0019107196822440997
2021-09-17,-0.74,1.0,-0.05,-0.64,-0.48,0.0,0.010250305062107667
2021-09-20,-1.86,-0.57,0.22,0.78,0.23,0.0,-0.03964134645668371
2021-09-21,0.03,0.27,-0.68,-0.43,-0.36,0.0,0.03906634208311144
2021-09-22,1.0,0.14,0.61,-0.52,0.46,0.0,0.10853629825537814
2021-09-23,1.28,0.46,0.92,-1.02,0.22,0.0,-0.020051246160179503
2021-09-24,0.09,-0.4,0.71,0.57,0.23,0.0,-0.022420522640112517
2021-09-27,-0.11,1.71,2.44,-0.24,0.78,0.0,-0.0033400473477745996
2021-09-28,-2.17,-0.01,1.77,0.83,1.07,0.0,-0.003127779153224153
2021-09-29,0.04,-0.2,0.81,1.15,0.34,0.0,-0.03339305018908911
2021-09-30,-1.03,0.07,-0.77,-1.24,-0.37,0.0,-0.024344985185654977
2021-10-01,1.12,0.48,0.51,-0.09,0.55,0.0,-0.004277573606067286
2021-10-04,-1.42,0.41,2.35,0.69,1.1,0.0,-0.02315038628588162
2021-10-05,1.06,-0.58,-0.07,-0.09,-0.34,0.0,0.026386464898727313
2021-10-06,0.34,-1.0,-0.5,0.33,-0.68,0.0,0.0011902655023954267
2021-10-07,1.01,0.45,-0.18,-0.07,0.04,0.0,-0.005230651771752637
2021-10-08,-0.27,-0.46,1.13,0.09,0.6,0.0,-0.0014340672340389382
2021-10-11,-0.72,0.23,-0.28,-0.04,0.28,0.0,0.00694114226903797
2021-10-12,-0.08,0.55,-0.43,-0.88,-0.28,0.0,-0.03660567926547431
2021-10-13,0.43,-0.09,-1.05,-0.49,-0.79,0.0,-0.00024668941116079424
2021-10-14,1.65,-0.37,-0.28,0.0,-0.12,0.0,0.010118456139690313
2021-10-15,0.64,-1.13,0.29,0.37,-0.08,0.0,0.002443158401551626
